Unfurnished,Semi-Furnished,Furnished,Area_sqft,Rent,BHK
1,0,0,1050,40000,2
1,0,0,1050,40000,2
1,0,0,1050,45000,2
0,1,0,1050,30000,2
0,1,0,1050,25000,2
0,1,0,1050,32000,2
0,1,0,1050,42000,3
0,1,0,1050,37500,2
0,1,0,1050,33000,2
0,1,0,1050,36000,3
0,1,0,1050,32000,2
0,1,0,1050,32000,2
0,1,0,1050,37000,2
0,0,1,1050,50000,2
0,0,1,1050,47000,2
0,0,1,1050,40000,2
1,0,0,1040,40000,2
1,0,0,1040,35000,2
1,0,0,1040,31000,2
1,0,0,1040,38000,3
0,1,0,1040,40000,2
0,0,1,1040,45000,2
0,1,0,1032,40000,2
0,1,0,1032,42000,2
0,1,0,1032,38000,2
0,1,0,1030,30000,2
0,0,1,1030,40000,2
0,0,1,1030,45000,2
1,0,0,1026,45000,3
1,0,0,1020,23000,1
0,1,0,1020,38000,2
0,1,0,1010,34000,2
0,1,0,1005,32000,2
1,0,0,1000,35000,2
1,0,0,1000,40000,2
1,0,0,1000,42000,2
1,0,0,1000,38000,3
1,0,0,1000,40000,2
1,0,0,1000,40000,2
1,0,0,1000,44000,2
0,1,0,1000,32000,2
0,1,0,1000,41000,2
0,1,0,1000,40000,2
0,1,0,1000,40000,2
0,1,0,1000,42000,2
0,1,0,1000,32000,2
0,1,0,1000,32000,2
0,1,0,1000,36000,2
0,1,0,1000,35000,2
0,1,0,1000,43000,2
0,1,0,1000,45000,2
0,1,0,1000,33000,2
0,1,0,1000,38000,2
0,1,0,1000,42000,2
0,0,1,1000,40000,2
0,0,1,1000,45000,2
0,0,1,1000,45000,2
0,0,1,1000,30000,2
0,0,1,1000,45000,2
0,0,1,1000,45000,2
0,0,1,1000,45100,2
0,0,1,1000,45000,2
